Date, Close/Last, Volume, Open, High, Low
02/10/2021, $492.67, 1764466, $499.17, $499.9874, $490.27
02/09/2021, $496.05, 1571477, $495, $497.95, $492.01
02/08/2021, $493.76, 1727272, $494.26, $497.86, $489.21
02/05/2021, $492.12, 1675141, $490.92, $495.1, $488
02/04/2021, $489.38, 2005114, $484.22, $489.88, $481.92
02/03/2021, $481.92, 2146948, $487.09, $488.85, $479.17
02/02/2021, $484.93, 3022025, $473.65, $487.37, $472.55
02/01/2021, $470, 2554774, $462.28, $474.8, $459.82
01/29/2021, $458.77, 3061106, $462.17, $465, $455.11
01/28/2021, $465.67, 3000726, $459.07, $475.02, $459.07
01/27/2021, $460, 3586353, $470.99, $473.67, $455.07
01/26/2021, $476.28, 2363124, $473.73, $477.22, $467.76
01/25/2021, $473.44, 2697405, $474.51, $477.7, $463.98
01/22/2021, $472.44, 2534274, $472.5, $476.35, $470.61
01/21/2021, $472.02, 2771772, $470.26, $474.69, $466.1
01/20/2021, $469.73, 3858988, $462.73, $472.385, $458.77
01/19/2021, $456.5, 4419205, $461.17, $461.5899, $453.34
01/15/2021, $458.08, 3200352, $462.5, $467.88, $457.49
01/14/2021, $463.27, 3508273, $472.41, $473.55, $462.2
01/13/2021, $472.05, 2105915, $472, $477.85, $469.3
01/12/2021, $471.65, 2964880, $474.41, $475, $464
01/11/2021, $474.24, 2383254, $481.99, $482.59, $471.3
01/08/2021, $485.1, 2266132, $480, $485.54, $477.21
01/07/2021, $477.74, 2901232, $471, $479.64, $468.25
01/06/2021, $466.31, 4156589, $474.0984, $475.8666, $466
01/05/2021, $485.69, 2010099, $485.88, $486.08, $479.195
01/04/2021, $485.34, 3612949, $500.3, $500.79, $476.28
12/31/2020, $500.12, 1462236, $497.99, $500.66, $494.89
12/30/2020, $497.45, 1529878, $503.05, $504.37, $496.3275
12/29/2020, $502.11, 1434200, $501.165, $505.35, $499.74
12/28/2020, $498.95, 1515441, $505.61, $506.04, $496.815
12/24/2020, $499.86, 589182, $499.16, $503.01, $497.28
12/23/2020, $496.91, 1428583, $505.13, $505.46, $496.59
12/22/2020, $504.17, 1701985, $498.36, $506.92, $495.83
12/21/2020, $498.39, 2412884, $498.05, $502, $491.5
12/18/2020, $502.95, 4667387, $497.61, $504.07, $493.57
12/17/2020, $495.36, 2178354, $493, $496.99, $490.63
12/16/2020, $489.9, 2555596, $485, $491.5, $484.11
12/15/2020, $482.64, 2559319, $489.05, $489.5, $480.53
12/14/2020, $486.42, 3945198, $475.61, $488.41, $475.5
12/11/2020, $475.91, 3561554, $475.975, $478.89, $468.82
12/10/2020, $476.87, 3922009, $483.74, $488.29, $470.95
12/09/2020, $483.74, 3449121, $496.03, $497, $479.26
12/08/2020, $495.28, 2175673, $492.29, $496.04, $486.2001
12/07/2020, $492.25, 3441683, $487, $499.29, $487
12/04/2020, $486, 2749793, $485.67, $491.3899, $484.3601
12/03/2020, $484.28, 3062675, $482.21, $492.81, $481.5
12/02/2020, $481.26, 2107080, $475.67, $481.32, $470.12
12/01/2020, $479.15, 2533070, $482.01, $482.01, $471.6328
11/30/2020, $478.47, 2786955, $480, $480.86, $469.2
11/27/2020, $477.03, 1815490, $476.9, $482.405, $474.86
11/25/2020, $470.08, 2634472, $466.29, $472.525, $464.845
11/24/2020, $462.7, 2588241, $461.41, $464.49, $456.6778
11/23/2020, $460.61, 2371433, $464.633, $467, $456.17
11/20/2020, $462.92, 1851107, $465.16, $470, $462.36
11/19/2020, $466.41, 3132704, $460, $471.04, $459.26
11/18/2020, $459.47, 2063159, $466.71, $467.9, $459.26
11/17/2020, $467.95, 2407597, $461.66, $469.9099, $460
11/16/2020, $460.95, 2522187, $460.43, $469.53, $458.2501
11/13/2020, $469.34, 2966003, $467.45, $470.6, $459
11/12/2020, $462.58, 2115319, $473.49, $474.933, $461.15
11/11/2020, $467.75, 2634159, $458.49, $470.12, $457.5
11/10/2020, $452, 4920340, $466.72, $468.01, $446
11/09/2020, $471.14, 3625298, $494.696, $499.41, $470.76
11/06/2020, $494.63, 1956305, $494.95, $498.72, $483
11/05/2020, $496.47, 2400994, $499.27, $502.53, $489.8
11/04/2020, $487.23, 4524341, $477.93, $494.94, $474.47
11/03/2020, $454.02, 1758640, $448.99, $457.844, $445.67
11/02/2020, $444.94, 2479005, $451, $456.185, $438.94
10/30/2020, $447.1, 3128709, $458.32, $459.5, $442.51
10/29/2020, $461.11, 2125281, $459.32, $464.73, $457.28
10/28/2020, $456.97, 2677304, $469.165, $470.97, $455.88
10/27/2020, $478.56, 1896459, $479.78, $481.89, $473.47
10/26/2020, $475.2, 2337431, $480.884, $488.78, $470.13
10/23/2020, $488.5, 1899599, $486.41, $488.51, $479.51
10/22/2020, $483.6, 2615048, $496.72, $496.86, $479.4
10/21/2020, $495.96, 1369735, $492.05, $499.81, $490.57
10/20/2020, $494.58, 1454449, $495.25, $500.165, $491.91
10/19/2020, $495.2, 1931403, $507.75, $507.75, $493.195
10/16/2020, $502.82, 2441382, $504, $510.34, $500.7
10/15/2020, $501.15, 2043107, $499.26, $502.5, $491.85
10/14/2020, $506.31, 2033159, $514.34, $516.95, $501.6
10/13/2020, $514.31, 2438132, $512.19, $519.6, $511.9001
10/12/2020, $510.89, 3149650, $508.26, $516, $499.54
10/09/2020, $502.16, 1853780, $491.77, $502.17, $491.176
10/08/2020, $490.84, 1590732, $499.05, $499.489, $487.56
10/07/2020, $493.15, 2025769, $484.35, $493.98, $481.43
10/06/2020, $478.98, 2041545, $485, $491.51, $477.5
10/05/2020, $486.47, 1984130, $483.25, $486.69, $478.99
10/02/2020, $478.99, 2780946, $487.99, $496.78, $478.64
10/01/2020, $499.51, 2264603, $497.425, $501.5, $495.76
09/30/2020, $490.43, 3508159, $488.13, $497.24, $486.22
09/29/2020, $489.33, 2043887, $489.94, $493.45, $484.17
09/28/2020, $488.51, 2844778, $487.97, $489.39, $481.18
09/25/2020, $479.78, 2541114, $469.23, $481.58, $466.01
09/24/2020, $467.67, 2838781, $466.93, $471.425, $460.27
09/23/2020, $470.39, 2671337, $486.88, $488, $468.2301
09/22/2020, $486.78, 2629133, $479.31, $487.2, $469.56
09/21/2020, $475.64, 3913745, $460.31, $475.86, $456.725
09/18/2020, $467.55, 7182302, $477.395, $478.34, $452.52
09/17/2020, $474.3, 4560776, $464.442, $475.17, $460.5
09/16/2020, $476, 8472420, $505.5, $505.5, $475.5
09/15/2020, $497.67, 5682447, $493.74, $499.6899, $491.49
09/14/2020, $485.91, 4463826, $484.99, $490.44, $476.87
09/11/2020, $471.35, 4414226, $487.08, $489.41, $464.48
09/10/2020, $476.26, 4248135, $491.15, $501.85, $473.5001
09/09/2020, $479.46, 3312148, $473.905, $483.49, $462.48
09/08/2020, $462.13, 4533544, $471.895, $481.48, $461.18
09/04/2020, $491.94, 3900326, $504.65, $511.35, $471.71
09/03/2020, $507.8, 5837638, $526.035, $527.63, $493.42
09/02/2020, $533.8, 2783438, $536.25, $536.88, $521.41
09/01/2020, $527.95, 2422061, $515, $528.536, $514.48
08/31/2020, $513.39, 2346705, $513.86, $516.73, $507.77
08/28/2020, $516.44, 1926261, $512.33, $518.797, $510.94
08/27/2020, $510.32, 3631779, $519.01, $523.3238, $504.46
08/26/2020, $528.49, 7780346, $496.95, $533.6979, $492.23
08/25/2020, $484.43, 3967365, $476.67, $484.65, $474.425
08/24/2020, $476.3, 1840607, $478.14, $480.02, $469.52
08/21/2020, $473.22, 2645579, $477.09, $477.28, $470.34
08/20/2020, $478.48, 2484983, $460.99, $479.8, $458.8868
08/19/2020, $462.01, 2439150, $464.29, $468.11, $457.5871
08/18/2020, $463.51, 2097690, $454.79, $464.5, $452.84
08/17/2020, $451.58, 1555942, $450, $456.1, $449.2
08/14/2020, $447.6, 1111145, $451.39, $452.814, $444.4262
08/13/2020, $450.02, 2028199, $446.07, $455.9, $446.07
08/12/2020, $445.36, 2224424, $437.37, $447.9299, $437.37
08/11/2020, $435.23, 1900223, $440.26, $444.48, $431.59
08/10/2020, $443.29, 1837078, $450.37, $451.125, $436.5
