Date, Close/Last, Volume, Open, High, Low
02/10/2021, $3286.58, 3151550, $3314, $3317.9548, $3254
02/09/2021, $3305, 2203526, $3312.49, $3338, $3297.84
02/08/2021, $3322.94, 3257391, $3358.5, $3364.9999, $3304
02/05/2021, $3352.15, 3620808, $3319, $3377, $3302.71
02/04/2021, $3331, 3670661, $3330, $3347, $3277.75
02/03/2021, $3312.53, 7088781, $3425.01, $3434, $3308.62
02/02/2021, $3380, 7098637, $3380, $3427.74, $3361.125
02/01/2021, $3342.88, 4160212, $3242.36, $3350.26, $3235.025
01/29/2021, $3206.2, 4293556, $3230, $3236.99, $3184.55
01/28/2021, $3237.62, 3149228, $3235.04, $3301.68, $3228.69
01/27/2021, $3232.58, 4660158, $3341.49, $3346.52, $3207.08
01/26/2021, $3326.13, 2955235, $3296.356, $3338, $3282.87
01/25/2021, $3294, 3749758, $3328.5, $3363.89, $3243.1463
01/22/2021, $3292.23, 2821914, $3304.31, $3321.91, $3283.1644
01/21/2021, $3306.99, 4945051, $3293, $3348.55, $3289.5675
01/20/2021, $3263.38, 5309835, $3181.99, $3279.8, $3175
01/19/2021, $3120.76, 3305142, $3107, $3145, $3096
01/15/2021, $3104.25, 4243995, $3123.02, $3142.545, $3095.17
01/14/2021, $3127.47, 3070919, $3167.52, $3177.9999, $3120.59
01/13/2021, $3165.89, 3321244, $3128.44, $3189.95, $3122.08
01/12/2021, $3120.83, 3514582, $3120, $3142.1418, $3086
01/11/2021, $3114.21, 3669095, $3148.01, $3156.3841, $3110
01/08/2021, $3182.7, 3537744, $3180, $3190.64, $3142.2
01/07/2021, $3162.16, 3514545, $3157, $3208.542, $3155
01/06/2021, $3138.38, 4394815, $3146.48, $3197.509, $3131.16
01/05/2021, $3218.51, 2655548, $3166.01, $3223.38, $3165.06
01/04/2021, $3186.63, 4411449, $3270, $3272, $3144.02
12/31/2020, $3256.93, 2957206, $3275, $3282.9219, $3241.2
12/30/2020, $3285.85, 3209310, $3341, $3342.1, $3282.47
12/29/2020, $3322, 4872933, $3309.94, $3350.65, $3281.223
12/28/2020, $3283.96, 5686787, $3194, $3304, $3172.69
12/24/2020, $3172.69, 1451917, $3193.9, $3202, $3169
12/23/2020, $3185.27, 2093787, $3205, $3210.13, $3184.17
12/22/2020, $3206.52, 2381781, $3202.843, $3222, $3180.08
12/21/2020, $3206.18, 3836846, $3200.01, $3226.9666, $3166
12/18/2020, $3201.65, 5995713, $3243.99, $3249.42, $3171.6
12/17/2020, $3236.08, 3474347, $3250, $3263.51, $3221
12/16/2020, $3240.96, 4427616, $3176.01, $3247, $3163.68
12/15/2020, $3165.12, 3323686, $3181.01, $3188.4999, $3130.49
12/14/2020, $3156.97, 4155794, $3143, $3190.47, $3126
12/11/2020, $3116.42, 3064695, $3096.66, $3118.67, $3072.82
12/10/2020, $3101.49, 3030186, $3088.99, $3142.1, $3076
12/09/2020, $3104.2, 4100836, $3167.89, $3174.43, $3088
12/08/2020, $3177.29, 3286303, $3158.9, $3184.13, $3120.02
12/07/2020, $3158, 2751316, $3156.48, $3180.76, $3141.69
12/04/2020, $3162.58, 2913611, $3198.21, $3198.21, $3158.76
12/03/2020, $3186.73, 2892039, $3205.46, $3228.64, $3181.31
12/02/2020, $3203.53, 3129304, $3221.65, $3232, $3173.2601
