Date, Close/Last, Volume, Open, High, Low
02/10/2021, $47.24, 44540880, $46.15, $47.41, $45.83
02/09/2021, $48.5, 24795020, $48.766, $48.8317, $48.41
02/08/2021, $48.94, 25215440, $48.56, $49.34, $48.56
02/05/2021, $48.08, 25488560, $47.57, $48.34, $47.5
02/04/2021, $47.25, 22285660, $45.87, $47.32, $45.77
02/03/2021, $45.77, 13173640, $45.75, $46.16, $45.54
02/02/2021, $45.83, 16520930, $45.52, $45.94, $45.43
02/01/2021, $45.4, 16776850, $44.92, $45.625, $44.66
01/29/2021, $44.58, 22608100, $44.85, $45.37, $44.48
01/28/2021, $45.34, 21166030, $45.914, $46.27, $45.3
01/27/2021, $45.7, 29634490, $45.24, $46.46, $45.08
01/26/2021, $45.26, 13087750, $44.885, $45.35, $44.77
01/25/2021, $45.03, 16581260, $45.04, $45.17, $44.71
01/22/2021, $44.77, 14643420, $44.75, $44.885, $44.23
01/21/2021, $45.11, 17495890, $45.2, $45.235, $44.72
01/20/2021, $45.34, 16499410, $45.33, $45.5, $45.14
01/19/2021, $45.19, 28868850, $45.33, $45.63, $44.77
01/15/2021, $45.43, 30271670, $44.96, $45.65, $44.88
01/14/2021, $45.15, 22333480, $44.87, $45.6, $44.85
01/13/2021, $45.36, 19367270, $45.29, $45.965, $45.18
01/12/2021, $45.79, 20145040, $45.3, $45.925, $44.96
01/11/2021, $45.36, 25062260, $45.15, $45.95, $45.02
01/08/2021, $45.06, 20936280, $44.48, $45.41, $44.25
01/07/2021, $44.96, 18218760, $44.2, $45.105, $44.1659
01/06/2021, $44.4, 21823110, $44.13, $44.87, $43.89
01/05/2021, $43.98, 17763660, $43.68, $44.07, $43.38
01/04/2021, $43.96, 24392540, $44.31, $44.37, $43.35
12/31/2020, $44.75, 15105480, $44.38, $44.84, $44.16
12/30/2020, $44.48, 11043110, $44.74, $45.06, $44.44
12/29/2020, $44.64, 11828960, $44.97, $45.245, $44.53
12/28/2020, $44.92, 13458430, $44.93, $45.34, $44.72
12/24/2020, $44.54, 5720538, $44.45, $44.59, $44.23
12/23/2020, $44.375, 12032640, $44.65, $44.8029, $44.35
12/22/2020, $44.69, 16031550, $44.44, $45.07, $44.44
12/21/2020, $44.88, 19865300, $44.47, $44.955, $44.065
12/18/2020, $45.44, 41026970, $44.9, $45.57, $44.77
12/17/2020, $44.82, 16141600, $44.91, $44.93, $44.6
12/16/2020, $44.72, 16191980, $44.695, $45.14, $44.525
12/15/2020, $44.72, 18165250, $44.39, $44.795, $44.135
12/14/2020, $44.24, 16112330, $44.27, $44.91, $44.15
12/11/2020, $44.32, 14577710, $43.94, $44.33, $43.72
12/10/2020, $44.32, 17741490, $44.54, $44.605, $44.11
12/09/2020, $44.69, 22679750, $44.47, $44.83, $44.36
12/08/2020, $44.37, 13348460, $44.206, $44.525, $43.93
12/07/2020, $44.35, 14086830, $44.287, $44.49, $43.91
12/04/2020, $44.38, 17319800, $43.89, $44.51, $43.89
12/03/2020, $44.11, 27710710, $43.78, $44.14, $43.595
12/02/2020, $43.89, 17422160, $43.39, $43.96, $43.35
12/01/2020, $43.54, 23948790, $43.01, $44.07, $43.01
11/30/2020, $43.02, 34741650, $42.44, $43.05, $42.41
11/27/2020, $42.7, 10769520, $42.855, $42.98, $42.64
11/25/2020, $42.5, 22617660, $42.78, $42.8, $42.21
11/24/2020, $42.61, 22849730, $42.14, $42.71, $41.9
11/23/2020, $41.64, 19656680, $41.03, $41.8, $41.02
11/20/2020, $40.97, 19778950, $41.05, $41.39, $40.92
11/19/2020, $41.17, 22177710, $41, $41.37, $40.77
11/18/2020, $41.32, 21327710, $41.9, $42.2386, $41.255
11/17/2020, $41.88, 23140910, $41.92, $42.345, $41.62
11/16/2020, $42.54, 34572650, $41.74, $42.59, $41.35
11/13/2020, $41.4, 49120100, $41.2, $41.52, $40.56
11/12/2020, $38.67, 29543620, $38.98, $39.39, $38.395
11/11/2020, $39.33, 27332810, $39.01, $39.45, $38.44
11/10/2020, $38.72, 31514510, $38.21, $39.025, $38.167
11/09/2020, $38.2, 42649540, $39.92, $40.23, $38.12
11/06/2020, $37.53, 19475290, $37.56, $37.6, $37.08
11/05/2020, $37.23, 23149700, $37.02, $37.3, $36.91
11/04/2020, $36.57, 30121920, $37.031, $37.3, $36.5
11/03/2020, $36.68, 27342890, $36.36, $37.33, $36.3
11/02/2020, $35.9, 23483100, $36.19, $36.35, $35.67
10/30/2020, $35.9, 29159660, $35.595, $35.93, $35.49
10/29/2020, $35.69, 35331970, $35.51, $36.07, $35.28
10/28/2020, $35.71, 34561490, $36.315, $36.51, $35.68
10/27/2020, $36.87, 37911470, $37.38, $37.5, $36.59
10/26/2020, $37.67, 29146550, $38.4, $38.43, $37.15
10/23/2020, $38.82, 15556080, $38.93, $38.97, $38.65
10/22/2020, $38.82, 20399040, $38.85, $38.96, $38.38
10/21/2020, $39.06, 17016270, $39.31, $39.57, $38.98
10/20/2020, $39.2, 16564890, $39.44, $39.51, $39.03
10/19/2020, $39.3, 19600470, $40.15, $40.38, $39.16
10/16/2020, $40.16, 21295120, $39.88, $40.3, $39.55
10/15/2020, $39.97, 15456970, $39.47, $40, $39.35
10/14/2020, $39.89, 16444690, $39.85, $40.42, $39.76
10/13/2020, $39.81, 23438270, $40.54, $40.61, $39.71
10/12/2020, $40.36, 22757250, $39.93, $40.53, $39.63
10/09/2020, $39.85, 16167470, $40.145, $40.23, $39.72
10/08/2020, $39.79, 19031350, $39.8, $40.18, $39.66
10/07/2020, $39.4, 20593710, $38.98, $39.58, $38.78
10/06/2020, $38.57, 28430810, $38.5, $39.35, $38.4
10/05/2020, $38.57, 26929050, $38.48, $38.79, $38.285
10/02/2020, $38.27, 24492960, $38.046, $38.55, $37.97
10/01/2020, $38.8, 20763540, $39.1, $39.31, $38.565
09/30/2020, $39.39, 27113200, $39.09, $39.7, $39.02
09/29/2020, $39.06, 16476890, $39.07, $39.375, $38.83
09/28/2020, $39.13, 24275700, $39.195, $39.29, $38.79
09/25/2020, $38.45, 22966650, $37.76, $38.54, $37.62
09/24/2020, $37.85, 30910350, $38, $38.16, $37.6
09/23/2020, $38.28, 24843240, $39.23, $39.39, $38.18
09/22/2020, $39.32, 17656820, $39.18, $39.46, $38.88
09/21/2020, $39.04, 28494970, $39.31, $39.47, $38.69
09/18/2020, $39.81, 44450760, $40.18, $40.32, $39.575
09/17/2020, $40.37, 22225920, $39.66, $40.4, $39.51
09/16/2020, $40.42, 24322450, $40.72, $41.17, $40.39
09/15/2020, $40.6, 19024100, $40.51, $40.839, $40.38
09/14/2020, $40.37, 19866720, $40.215, $40.64, $40.05
09/11/2020, $39.88, 21852960, $39.765, $40.05, $39.515
09/10/2020, $39.57, 25108750, $40.03, $40.635, $39.42
09/09/2020, $40.13, 23351620, $40.1, $40.475, $39.715
09/08/2020, $40, 29101790, $40.05, $40.61, $39.97
09/04/2020, $40.82, 34867420, $41.2, $41.43, $40.44
09/03/2020, $40.95, 39288120, $41.75, $41.83, $40.67
09/02/2020, $42.42, 30045680, $42.04, $42.69, $42.03
09/01/2020, $42.03, 23344890, $42, $42.07, $41.5
08/31/2020, $42.22, 21297990, $42.1, $42.35, $41.94
08/28/2020, $42.2, 16573580, $42.14, $42.3, $42
08/27/2020, $42.29, 22456770, $42.4, $42.47, $42.02
08/26/2020, $42.25, 21625830, $41.65, $42.28, $41.45
08/25/2020, $41.96, 15417360, $42.23, $42.3, $41.78
08/24/2020, $42.18, 17742930, $42.07, $42.47, $42
08/21/2020, $42.25, 17389560, $42.05, $42.3, $41.81
08/20/2020, $42.31, 18443880, $41.87, $42.42, $41.73
08/19/2020, $41.87, 20097420, $42.1, $42.35, $41.78
08/18/2020, $41.98, 23344590, $42.13, $42.29, $41.81
08/17/2020, $42.09, 30511750, $42.55, $42.7625, $41.86
08/14/2020, $42.5, 32539450, $42.49, $42.88, $42.27
08/13/2020, $42.72, 91849460, $43.79, $43.84, $42.38
08/12/2020, $48.1, 27023680, $47.28, $48.13, $47.27
08/11/2020, $47.19, 18859630, $47.9, $48.45, $47.085
08/10/2020, $47.73, 14999190, $47.16, $48, $47.16
