Date, Close/Last, Volume, Open, High, Low
02/10/2021, $144.61, 2827192, $146.95, $147.41, $144.12
02/09/2021, $146.11, 4517906, $142.57, $148.23, $142.43
02/08/2021, $142.46, 2538357, $142, $142.49, $139.34
02/05/2021, $141.22, 3899235, $139.91, $142.47, $139.3
02/04/2021, $138.63, 3930236, $140.56, $142.15, $137.76
02/03/2021, $140.82, 6695620, $144.36, $144.61, $138.04
02/02/2021, $148.97, 4185672, $146.15, $150.2997, $146.15
02/01/2021, $145.87, 4123097, $143.79, $147.29, $143.53
01/29/2021, $143.2, 3665432, $141, $144.57, $140.47
01/28/2021, $143.01, 3276700, $146.2, $146.63, $142.9
01/27/2021, $146.23, 4368095, $145.83, $148.93, $144.5434
01/26/2021, $146.3, 3660631, $146.36, $146.96, $145.19
01/25/2021, $146.3, 3728814, $148.81, $150.3, $145.38
01/22/2021, $146, 3369163, $144.98, $146.48, $144.51
01/21/2021, $145.97, 3014038, $145.609, $147.28, $144.74
01/20/2021, $145.6, 3288446, $142.43, $145.92, $141.79
01/19/2021, $141.43, 2693340, $139.41, $143, $138
01/15/2021, $139, 2443708, $139.26, $140.66, $137.91
01/14/2021, $138.94, 3511759, $136.83, $139.38, $136.13
01/13/2021, $136.34, 3696531, $138.57, $138.95, $134.63
01/12/2021, $139.06, 2166686, $141.09, $141.8, $137.3
01/11/2021, $141.22, 2589776, $141.52, $141.715, $139.31
01/08/2021, $141.86, 1902761, $140.86, $142, $139.93
01/07/2021, $140.74, 2936195, $137.33, $140.87, $137
01/06/2021, $136.8, 2398688, $138.52, $140.2, $136.39
01/05/2021, $141.32, 2117989, $140.23, $141.4, $138.49
01/04/2021, $139.51, 3587160, $143.44, $143.65, $138.16
12/31/2020, $143.6, 1690246, $141.91, $143.86, $141.91
12/30/2020, $142.05, 1684592, $141.39, $142.63, $140.89
12/29/2020, $140.7, 1188570, $141, $142.13, $140.28
12/28/2020, $140.72, 1756159, $142.326, $142.55, $138.78
12/24/2020, $141.81, 688124, $141.32, $142.2004, $140.78
12/23/2020, $141.51, 1762444, $139.52, $142.39, $138.63
12/22/2020, $139.43, 2105095, $141.24, $141.72, $138.69
12/21/2020, $141.01, 2631175, $141.63, $142.37, $138.97
12/18/2020, $142.61, 4874221, $140.66, $142.97, $139.58
12/17/2020, $139.85, 3625919, $141.95, $142.495, $138.32
12/16/2020, $141.6, 4029311, $139.5, $143.445, $139.33
12/15/2020, $140.66, 3394791, $137.81, $140.8, $137.11
12/14/2020, $137.54, 3356949, $138.5, $138.59, $136.6
12/11/2020, $135.8, 3195673, $134.78, $137.11, $134.63
12/10/2020, $134.68, 2903822, $131.658, $135.37, $131.25
