Date, Close/Last, Volume, Open, High, Low
02/10/2021, $271.87, 14687150, $272.4465, $273.7999, $267.72
02/09/2021, $269.45, 14613380, $266.44, $273.39, $265.75
02/08/2021, $266.58, 13755190, $268.75, $269.86, $265
02/05/2021, $268.1, 12454370, $266.8, $269.17, $265.67
02/04/2021, $266.49, 16059960, $267.01, $268.16, $264
02/03/2021, $266.65, 14223380, $265.62, $269.2, $263.84
02/02/2021, $267.08, 17320790, $264, $268.85, $263.27
02/01/2021, $262.01, 22914260, $259.52, $264.17, $254.91
01/29/2021, $258.33, 30389500, $265.3, $266.56, $254.85
01/28/2021, $265, 37758840, $277.18, $286.79, $264.7
01/27/2021, $272.14, 35346190, $282.53, $283.45, $268.1201
01/26/2021, $282.05, 19373640, $278.14, $285.39, $277.81
01/25/2021, $278.01, 19086990, $278.14, $280.1, $271.51
01/22/2021, $274.5, 21954040, $272.01, $278.47, $272
01/21/2021, $272.87, 20838690, $269.26, $273.6, $267.4901
01/20/2021, $267.48, 25199920, $268.93, $270.32, $263.6
01/19/2021, $261.1, 28028550, $256.9, $262.2, $252.7201
01/15/2021, $251.36, 24942930, $247.9, $253.86, $247.16
01/14/2021, $245.64, 29739400, $253.4, $255.03, $244.61
01/13/2021, $251.64, 19528940, $251.55, $253.95, $249.2
01/12/2021, $251.09, 26449940, $256.63, $259.72, $250.3
01/11/2021, $256.84, 30412290, $260.48, $263.47, $255.9
01/08/2021, $267.57, 18528250, $268.31, $268.95, $263.18
01/07/2021, $268.74, 15789760, $265.9, $271.61, $264.78
01/06/2021, $263.31, 24354150, $262, $267.75, $260.01
01/05/2021, $270.97, 9871557, $268.29, $272.4, $268.2111
01/04/2021, $268.94, 15106110, $274.78, $275, $265.2
12/31/2020, $273.16, 12900410, $272, $277.09, $269.81
12/30/2020, $271.87, 11803800, $277.95, $278.08, $271.71
12/29/2020, $276.78, 16383000, $276.95, $280.51, $276.28
12/28/2020, $277, 23299710, $268.74, $277.3, $265.66
12/24/2020, $267.4, 6702033, $268.875, $270.4, $266.2
12/23/2020, $268.11, 14329040, $266.89, $272.1699, $266.23
12/22/2020, $267.09, 17335000, $271.5, $271.5, $264.63
12/21/2020, $272.79, 16553740, $272.978, $274.67, $267.79
12/18/2020, $276.4, 26693250, $275.775, $278, $271.14
12/17/2020, $274.48, 16377840, $277.07, $280.44, $273.61
12/16/2020, $275.67, 15885000, $274.76, $277.86, $272.51
12/15/2020, $275.55, 23979460, $274.83, $276.08, $267.47
12/14/2020, $274.19, 16376880, $273.372, $277.22, $271.56
12/11/2020, $273.55, 14391400, $274.53, $276.48, $270.25
12/10/2020, $277.12, 20065090, $275.535, $278.73, $271.86
12/09/2020, $277.92, 25189710, $283.66, $287.63, $271.75
12/08/2020, $283.4, 10747650, $286.01, $286.4272, $281.55
12/07/2020, $285.58, 13007670, $279.19, $288.49, $278.2
12/04/2020, $279.7, 10880300, $280.3, $283.46, $279.3
12/03/2020, $281.85, 12921690, $286.25, $286.65, $281.07
12/02/2020, $287.52, 17361620, $285.36, $291.78, $280.825
12/01/2020, $286.55, 20777910, $279.16, $289.3, $278.96
11/30/2020, $276.97, 16693340, $276.03, $277.7, $271.01
11/27/2020, $277.81, 7808426, $277.39, $279.13, $274.82
11/25/2020, $275.59, 12467010, $278.14, $280.18, $272.65
11/24/2020, $276.92, 16930420, $268.49, $277.8199, $267.87
11/23/2020, $268.43, 20990790, $270.89, $270.9471, $264.53
11/20/2020, $269.7, 18122410, $272.56, $273, $269.41
11/19/2020, $272.94, 12963660, $271.025, $273.47, $269.19
