Date, Close/Last, Volume, Open, High, Low
02/10/2021, $58.86, 16325150, $59.3, $59.42, $58.12
02/09/2021, $58.78, 28754080, $58.77, $59.31, $57.935
02/08/2021, $59.16, 34358300, $58.375, $59.22, $57.95
02/05/2021, $58.18, 23432610, $59, $59.08, $58.12
02/04/2021, $58.79, 29853780, $57.61, $58.88, $57.19
02/03/2021, $57.68, 21893190, $57.894, $58.33, $57.38
02/02/2021, $58, 23580890, $57.19, $58.28, $56.88
02/01/2021, $56.69, 26926640, $55.95, $57.39, $55.71
01/29/2021, $55.51, 37256230, $55.98, $57.16, $55.355
01/28/2021, $56.065, 49202560, $54.79, $57.4, $54.7
01/27/2021, $53.59, 49722950, $54.61, $54.8481, $53.3
01/26/2021, $55.21, 31485880, $55.275, $56.2, $54.85
01/25/2021, $55.44, 61968550, $56.38, $56.5, $54.06
01/22/2021, $56.66, 85729320, $58.85, $59.62, $56.65
01/21/2021, $62.46, 87156460, $59.038, $63.95, $58.2233
01/20/2021, $58.67, 28701260, $58.24, $59.22, $58.09
01/19/2021, $57.99, 35647140, $57.94, $58.34, $57.1
01/15/2021, $57.58, 50265360, $58.85, $59.65, $57.5
01/14/2021, $59.25, 74680890, $58.45, $60.14, $57.84
01/13/2021, $56.95, 124070700, $59.5, $60.25, $56.9
01/12/2021, $53.24, 39883890, $51.9, $53.85, $51.56
01/11/2021, $51.54, 32933280, $51.29, $52.24, $51.25
01/08/2021, $51.65, 34625380, $52.45, $52.53, $51.27
01/07/2021, $52.19, 32092340, $51.49, $52.69, $51.3
01/06/2021, $51.1, 36809640, $50.435, $52.15, $50.2
01/05/2021, $50.61, 24866560, $49.445, $50.83, $49.33
01/04/2021, $49.67, 46102460, $49.89, $51.39, $49.4016
12/31/2020, $49.82, 28576790, $48.75, $50.19, $48.72
12/30/2020, $48.75, 37385410, $49.11, $49.19, $48.56
12/29/2020, $49.39, 84531390, $47.22, $50.6667, $46.49
12/28/2020, $47.07, 21269170, $47.19, $47.635, $46.86
12/24/2020, $47.07, 11865640, $46.6, $47.09, $46.34
12/23/2020, $46.57, 22564230, $46.165, $47.03, $46.07
12/22/2020, $46.17, 32188770, $46.25, $46.34, $45.765
12/21/2020, $46.36, 53775700, $46.32, $46.45, $45.24
12/18/2020, $47.46, 119298400, $50.57, $50.68, $47.11
12/17/2020, $50.65, 26399020, $51.15, $51.32, $50.22
12/16/2020, $51.12, 28350980, $50.71, $51.46, $50.68
12/15/2020, $50.665, 25472990, $50.98, $51.01, $50.21
12/14/2020, $50.47, 33436400, $49.82, $51.34, $49.74
12/11/2020, $49.73, 29398840, $50.14, $50.14, $49.115
12/10/2020, $50.26, 33705980, $49.66, $50.72, $49.59
12/09/2020, $50.07, 34068390, $50.28, $50.8383, $49.73
12/08/2020, $50.69, 28956510, $49.83, $50.72, $49.81
12/07/2020, $50.2, 51040300, $51, $51.29, $49.56
