Date, Close/Last, Volume, Open, High, Low
02/10/2021, $242.82, 22186710, $245, $245.92, $240.89
02/09/2021, $243.77, 23564950, $241.87, $244.76, $241.38
02/08/2021, $242.47, 22211930, $243.15, $243.68, $240.81
02/05/2021, $242.2, 18054750, $242.23, $243.28, $240.42
02/04/2021, $242.01, 25296100, $242.66, $243.2399, $240.37
02/03/2021, $243, 27158100, $239.57, $245.09, $239.26
02/02/2021, $239.51, 25916340, $241.3, $242.31, $238.69
02/01/2021, $239.65, 33314190, $235.06, $242.5, $232.43
01/29/2021, $231.96, 42503140, $235.99, $238.02, $231.35
01/28/2021, $238.93, 49111160, $235.61, $242.64, $235.09
01/27/2021, $232.9, 69870640, $238, $240.44, $230.14
01/26/2021, $232.33, 49169600, $231.86, $234.18, $230.08
01/25/2021, $229.53, 33152100, $229.12, $229.78, $224.22
01/22/2021, $225.95, 30172660, $227.08, $230.07, $225.8
01/21/2021, $224.97, 30749550, $224.7, $226.3, $222.42
01/20/2021, $224.34, 37777260, $217.7, $225.79, $217.2908
01/19/2021, $216.44, 30480860, $213.75, $216.98, $212.63
01/15/2021, $212.65, 31746510, $213.52, $214.51, $212.03
01/14/2021, $213.02, 29346740, $215.91, $217.46, $212.74
01/13/2021, $216.34, 20087080, $214.02, $216.76, $213.9266
01/12/2021, $214.93, 23249340, $216.5, $217.1, $213.3202
01/11/2021, $217.49, 23047030, $218.47, $218.91, $216.73
01/08/2021, $219.62, 22956210, $218.68, $220.58, $217.0261
01/07/2021, $218.29, 27694480, $214.04, $219.34, $213.71
01/06/2021, $212.25, 35930650, $212.17, $216.4899, $211.94
01/05/2021, $217.9, 23822950, $217.26, $218.52, $215.7
01/04/2021, $217.69, 37130140, $222.53, $223, $214.81
12/31/2020, $222.42, 20942130, $221.7, $223, $219.68
12/30/2020, $221.68, 20272340, $225.23, $225.63, $221.47
12/29/2020, $224.15, 17403210, $226.31, $227.18, $223.58
12/28/2020, $224.96, 17933500, $224.45, $226.03, $223.02
12/24/2020, $222.75, 10550570, $221.42, $223.61, $221.2
12/23/2020, $221.02, 18699640, $223.11, $223.5589, $220.8
12/22/2020, $223.94, 22643400, $222.69, $225.63, $221.85
12/21/2020, $222.59, 37181890, $217.55, $224, $217.2801
12/18/2020, $218.59, 63354920, $218.59, $219.69, $216.02
12/17/2020, $219.42, 32515780, $219.87, $220.89, $217.92
12/16/2020, $219.28, 35023250, $214.75, $220.11, $214.72
12/15/2020, $214.13, 27018110, $215.165, $215.42, $212.24
12/14/2020, $214.2, 28798380, $213.1, $216.21, $212.88
