Date, Close/Last, Volume, Open, High, Low
02/10/2021, $563.59, 3991264, $562.5, $566.65, $553.463
02/09/2021, $559.07, 3703499, $546, $566, $543
02/08/2021, $547.92, 2791721, $555, $555, $543.7
02/05/2021, $550.79, 2376175, $552.26, $554.44, $545.4778
02/04/2021, $552.16, 5164537, $539.81, $559.48, $537.51
02/03/2021, $539.45, 3172288, $550.17, $550.48, $538.243
02/02/2021, $548.16, 3767569, $542.01, $555.48, $538.935
02/01/2021, $539.04, 3547507, $536.79, $545.06, $531.73
01/29/2021, $532.39, 4325264, $538, $541, $530.18
01/28/2021, $538.6, 5968978, $535.88, $553.1482, $530.74
01/27/2021, $523.28, 8670277, $550.71, $556.4187, $515.73
01/26/2021, $561.93, 5023847, $554.73, $567.99, $554.06
01/25/2021, $556.78, 7207329, $567, $569.75, $548.65
01/22/2021, $565.17, 7550822, $582.1, $583.99, $564.35
01/21/2021, $579.84, 11840630, $582.45, $588.75, $570.4
01/20/2021, $586.34, 32637450, $565.42, $593.2877, $556.86
01/19/2021, $501.77, 12315810, $501, $509.25, $493.5427
01/15/2021, $497.98, 5895788, $500, $506.32, $495.1
01/14/2021, $500.86, 4177357, $507.35, $514.5, $499.58
01/13/2021, $507.79, 5032099, $495.5012, $512.3542, $493.01
01/12/2021, $494.25, 5990425, $500, $501.09, $485.6701
01/11/2021, $499.1, 3812720, $507.84, $510.725, $497.95
01/08/2021, $510.4, 2973949, $511.31, $513.24, $504.51
01/07/2021, $508.89, 3686448, $508.28, $516.44, $506.42
01/06/2021, $500.49, 5346210, $511.97, $513.0998, $499.5
01/05/2021, $520.8, 3133872, $521.55, $526.78, $515.89
01/04/2021, $522.86, 4444407, $539, $540.8, $515.085
12/31/2020, $540.73, 5392322, $525.53, $545.5, $523.1502
12/30/2020, $524.59, 1876286, $530.13, $533.2575, $523.69
12/29/2020, $530.87, 4022358, $519.9, $536.5478, $515.4801
12/28/2020, $519.12, 2891867, $516.43, $523.66, $507.13
12/24/2020, $513.97, 1143952, $515.12, $519.345, $512.2104
12/23/2020, $514.48, 2393187, $524.76, $526.32, $514.2
12/22/2020, $527.33, 1908529, $527.69, $530.4, $520.5
12/21/2020, $528.91, 3893964, $530.05, $532.62, $521.15
12/18/2020, $534.45, 4502692, $533.2, $536.37, $526.02
12/17/2020, $532.9, 3193377, $529, $535.49, $526.44
12/16/2020, $524.83, 3682392, $520.11, $527.38, $517.69
12/15/2020, $519.78, 3398209, $518.5, $524.7, $513.56
12/14/2020, $522.42, 5770424, $505.44, $524.1603, $501.18
12/11/2020, $503.22, 3210928, $495, $503.34, $494.85
12/10/2020, $501.09, 3018203, $494.56, $503.77, $492.91
12/09/2020, $493.6, 4178768, $510.53, $514.5, $491.29
12/08/2020, $512.66, 4228950, $517.9, $521.4909, $505.55
12/07/2020, $515.78, 4289293, $500.01, $517.76, $497.77
12/04/2020, $498.31, 3666243, $497.5, $504.5, $493.64
12/03/2020, $497.52, 2826116, $502.99, $508.77, $496.04
12/02/2020, $503.38, 3028358, $501.62, $506.795, $493.5
12/01/2020, $504.58, 5063234, $492.3404, $509.47, $491.9812
