Date, Close/Last, Volume, Open, High, Low
02/10/2021, $590.57, 12133810, $578.53, $596.2, $573.655
02/09/2021, $570.53, 7189003, $573.625, $583.33, $568.9
02/08/2021, $577.55, 10865570, $549.0886, $578.95, $549.0886
02/05/2021, $543.64, 4228841, $549, $549.49, $541.83
02/04/2021, $546.57, 5033462, $541.24, $546.94, $533.5145
02/03/2021, $541.22, 6135232, $545.44, $557.27, $540.66
02/02/2021, $542.27, 5510957, $535.95, $542.88, $531.4199
02/01/2021, $529.48, 5430108, $522.134, $530.83, $516.11
01/29/2021, $519.59, 6788801, $523, $533.39, $516.4602
01/28/2021, $522.04, 5707899, $519.85, $533.59, $518.42
01/27/2021, $516.71, 9281821, $529.2, $529.31, $511.75
01/26/2021, $537.41, 4099510, $543.218, $545.79, $535.5
01/25/2021, $546.13, 6277779, $551.27, $553.14, $529.4592
01/22/2021, $548.5, 6170464, $549.6035, $553.6693, $545.09
01/21/2021, $554.7, 8458490, $536.7442, $559.9743, $530.1201
01/20/2021, $534.63, 6464272, $524.47, $537.22, $522.27
01/19/2021, $521.01, 5654672, $520.65, $523.7593, $513.76
01/15/2021, $514.38, 6944532, $529.12, $533.01, $513.94
01/14/2021, $528.01, 7078007, $543, $543.99, $527.22
01/13/2021, $541.27, 5250711, $539.5986, $544.9999, $535.4001
01/12/2021, $539.39, 7286943, $550.1, $550.18, $533.8
01/11/2021, $544.86, 12975720, $536.75, $558.44, $534.5
01/08/2021, $531.07, 7313215, $534.5, $536.8399, $521.68
01/07/2021, $533.76, 11537040, $518.7, $535.11, $515.4601
01/06/2021, $504.58, 14510580, $528.9, $529.8, $503.44
01/05/2021, $536.19, 8068998, $523.99, $537.74, $523.48
01/04/2021, $524.54, 14016050, $524.17, $546.0999, $518.5
12/31/2020, $522.2, 4810610, $525.46, $526.045, $516.6
12/30/2020, $525.83, 5634929, $519.612, $528.55, $515.87
12/29/2020, $517.73, 4259304, $517, $522.9, $513.69
12/28/2020, $516, 5314141, $522.5, $522.5, $510.527
12/24/2020, $519.75, 2447088, $521.49, $525.3, $517.55
12/23/2020, $520.37, 4478569, $530.24, $531, $520.2
12/22/2020, $531.13, 4657872, $532.77, $533.4899, $522.1552
12/21/2020, $533.29, 7558304, $522.99, $534.8, $518.7
12/18/2020, $530.88, 8551616, $535.16, $536.2, $522.82
12/17/2020, $533.65, 5784597, $534.67, $535.18, $527.14
12/16/2020, $529.7, 5577867, $536.9, $537.49, $528.5
12/15/2020, $534.42, 4837148, $537.59, $538.56, $527.47
12/14/2020, $532.35, 6753947, $523.515, $535.55, $523.1
12/11/2020, $520.53, 5231641, $518.69, $520.8, $512.92
12/10/2020, $518.89, 5194118, $514.76, $522.7499, $513.975
12/09/2020, $517.23, 10032530, $532.02, $536.56, $514.7295
12/08/2020, $534, 6798022, $543.4, $543.95, $531.26
12/07/2020, $544.27, 5581081, $544.05, $549.25, $540
12/04/2020, $542.33, 5056085, $537.94, $542.3999, $535.5476
12/03/2020, $535.84, 4988016, $543.5, $546.4, $533.16
12/02/2020, $541.78, 7084030, $534.02, $546.9377, $529.37
12/01/2020, $535.6, 7439282, $539.69, $541.15, $529.13
11/30/2020, $536.06, 7173800, $530.6, $536.5, $518.8941
11/27/2020, $530.45, 4181880, $535, $536.3, $526.8218
11/25/2020, $529.39, 6497910, $521.3, $530.7756, $520.8
11/24/2020, $518.31, 8662499, $525.7, $526.48, $515.4
11/23/2020, $525.6, 9033855, $526.845, $535.3, $520.62
11/20/2020, $523.51, 8527245, $538.16, $539.7799, $522.6
11/19/2020, $537.61, 14148360, $528.51, $539.5, $524
11/18/2020, $537.15, 12773130, $538.61, $544.23, $527.4
11/17/2020, $536.89, 7800699, $542.1, $543.85, $532.1549
11/16/2020, $540.61, 10344370, $526.9, $545.98, $526.2401
11/13/2020, $531.88, 8669058, $545.0911, $546.7499, $522.37
11/12/2020, $538.27, 9165875, $539.157, $550.64, $532.64
11/11/2020, $536.72, 10118590, $522.15, $537.395, $517.93
11/10/2020, $510.8, 16101680, $544.26, $544.26, $505.13
11/09/2020, $545.23, 14574450, $582.1, $587.66, $544.43
11/06/2020, $582.48, 9583732, $564.39, $583.55, $555.8
11/05/2020, $566.4, 7975708, $566.5, $573.56, $559.64
11/04/2020, $551.77, 10255730, $535.57, $553.1, $533.475
11/03/2020, $520.78, 6822527, $508.34, $524.2, $504.11
11/02/2020, $503.23, 7491316, $506.31, $513.4663, $495.8
10/30/2020, $501.36, 10434900, $514, $517.455, $492
10/29/2020, $520.96, 8002046, $513.54, $527.71, $510
10/28/2020, $505.08, 9412952, $527.92, $530.4, $504.36
10/27/2020, $535.87, 6262992, $532.24, $537.68, $527.66
10/26/2020, $525.65, 8422358, $537.08, $547.7117, $521.54
10/23/2020, $543.61, 5837107, $538, $543.73, $531.65
10/22/2020, $534.44, 7261986, $540.9, $544.47, $529.27
10/21/2020, $540.99, 5489933, $545, $551.66, $539.1001
10/20/2020, $545.82, 5730301, $543.34, $551.99, $540.2801
10/19/2020, $539.91, 7451714, $556.115, $559.3399, $536.27
10/16/2020, $552.46, 6065990, $561.47, $564.86, $551.7
10/15/2020, $558.8, 6680628, $552.427, $560.23, $550.71
10/14/2020, $563.81, 6916178, $571.62, $573.71, $558.4
10/13/2020, $569.93, 8615078, $571.86, $573.9399, $560.745
10/12/2020, $569.04, 10868600, $559.58, $573.88, $556.5
10/09/2020, $550.51, 8672273, $550.68, $552.97, $546.43
10/08/2020, $553.55, 9472522, $563, $563.38, $550.32
10/07/2020, $558.56, 10452130, $559.99, $564.77, $554.54
10/06/2020, $549.46, 19610500, $553.2, $565.68, $546.6
10/05/2020, $545.7, 11995460, $529.44, $545.77, $528.9106
10/02/2020, $522.49, 13812400, $529, $540.78, $522.04
10/01/2020, $544.58, 13125060, $550.32, $550.5095, $538.4301
09/30/2020, $541.22, 17229600, $526.3, $544.9, $526.01
09/29/2020, $529.03, 15575120, $517.5, $537.71, $517.33
09/28/2020, $521.4, 14345230, $521.61, $522.07, $510
09/25/2020, $514.95, 14700410, $497.9, $515.34, $489.83
09/24/2020, $493.92, 18281010, $482.89, $502.78, $480.56
09/23/2020, $484.95, 16175310, $503.02, $509.08, $483.17
09/22/2020, $505.51, 16161300, $503, $505.9199, $486.222
09/21/2020, $500.69, 18026060, $477, $500.9, $476.18
09/18/2020, $487.57, 17461550, $503.75, $505.3, $479.55
09/17/2020, $498.54, 19812790, $485.289, $503.59, $481.39
09/16/2020, $500.58, 13939990, $518.29, $523.71, $500.55
09/15/2020, $519.64, 18188910, $531.2, $531.95, $513.11
09/14/2020, $514.89, 30043620, $523.24, $532.6, $505.2457
09/11/2020, $486.58, 15923170, $499.42, $506.1, $475.83
09/10/2020, $492.47, 17467110, $519.57, $522.61, $486.68
09/09/2020, $508.6, 18404960, $496, $512.37, $489.27
09/08/2020, $476.52, 19893240, $469.38, $502, $468.17
09/04/2020, $504.9, 36592070, $511.35, $527, $468.19
09/03/2020, $520.62, 23628150, $553.145, $555.38, $515.15
09/02/2020, $573.86, 21850320, $588.15, $589.0699, $556
09/01/2020, $552.84, 12811850, $539.2, $559.75, $537.46
08/31/2020, $534.98, 12521030, $527.311, $543, $521.51
08/28/2020, $525.91, 13428960, $506.997, $525.92, $505.7
08/27/2020, $505.13, 7940073, $511.26, $514, $502.6573
08/26/2020, $510.92, 8031073, $511.9694, $514.7396, $507.11
08/25/2020, $510, 7226920, $505.23, $510.45, $502.95
08/24/2020, $508.81, 12264110, $515.35, $516.5, $500.3
08/21/2020, $507.34, 24996740, $488.07, $512.348, $487.8064
08/20/2020, $485.64, 23034660, $479, $495, $475.15
08/19/2020, $485.54, 15565560, $491.86, $492.6, $483.92
08/18/2020, $490.43, 12586160, $498, $499.84, $483.45
08/17/2020, $493.48, 15532520, $474.05, $496.39, $472.6876
08/14/2020, $462.56, 9160904, $461.2, $468.19, $457.62
08/13/2020, $457.72, 9361489, $461.84, $468.87, $454.23
08/12/2020, $457.61, 11623570, $439.63, $458.68, $438.33
08/11/2020, $434, 8862763, $442.95, $445.47, $431.83
08/10/2020, $446.6, 10694900, $453.37, $456.33, $434.26
