Date, Close/Last, Volume, Open, High, Low
02/10/2021, $283.18, 9364487, $285.1, $286.08, $278.401
02/09/2021, $284.2, 8696995, $280.38, $286.89, $276.51
02/08/2021, $282.17, 10084300, $276.88, $282.6989, $274.6235
02/05/2021, $269.44, 7978598, $268.61, $270, $264.71
02/04/2021, $270.43, 23840860, $265.34, $274.94, $260.85
02/03/2021, $251.9, 13545700, $253.96, $254.315, $247.39
02/02/2021, $249.1, 7082835, $243.61, $250.19, $240.53
02/01/2021, $241.85, 7788173, $238.37, $244.14, $235.4
01/29/2021, $234.31, 9805849, $238.65, $240.87, $232.66
01/28/2021, $237.79, 8295538, $235, $241.555, $232.21
01/27/2021, $229.94, 11787020, $234.7, $235.4, $225
01/26/2021, $241, 7882985, $246.9, $248.76, $240.03
01/25/2021, $247.75, 8499384, $253.8, $254.39, $242.22
01/22/2021, $252, 7800506, $246.65, $254.39, $246.2
01/21/2021, $248.64, 10336550, $246.67, $250.37, $243.58
01/20/2021, $244.26, 5803248, $248.85, $249.65, $244.14
01/19/2021, $247.25, 7436752, $243.3, $248.74, $241
01/15/2021, $239.79, 8373333, $242.25, $244.5632, $235.0341
01/14/2021, $242.06, 6976718, $246.87, $249.85, $241.54
01/13/2021, $244.9, 7354936, $236.57, $247.44, $236.54
01/12/2021, $237.64, 4145557, $237.62, $238.8, $233.83
01/11/2021, $237.5, 5073071, $238.04, $240.84, $234.09
01/08/2021, $242.46, 6767739, $237.43, $242.91, $236.0687
01/07/2021, $235.04, 7107892, $229.46, $235.6, $229.22
01/06/2021, $226.83, 9211701, $228.94, $232.49, $225.7021
01/05/2021, $234.91, 5047831, $230.47, $235.64, $229.8
01/04/2021, $231.92, 8148695, $237.8, $237.9969, $227.5348
12/31/2020, $234.2, 5002663, $232, $234.69, $229.69
12/30/2020, $231.51, 6017643, $232.19, $233.84, $230.02
12/29/2020, $231.03, 8316075, $236, $236.25, $229.68
12/28/2020, $235.73, 7079520, $243.5, $243.5, $235.25
12/24/2020, $238.64, 3053752, $240.36, $242.12, $238.09
12/23/2020, $239.44, 6421336, $243.6, $244.25, $238.33
12/22/2020, $243.49, 6340935, $240.165, $243.68, $238.09
12/21/2020, $237.72, 8156045, $232.62, $239.7514, $232.2013
12/18/2020, $236.45, 11534720, $236.66, $237.17, $232.28
12/17/2020, $235.51, 8914060, $234.51, $238.1, $232.4
12/16/2020, $230.2, 10110030, $224.8, $231.15, $224.61
12/15/2020, $221.6, 6508117, $221.93, $222.31, $217.12
12/14/2020, $220.79, 9759424, $215.95, $223.16, $215
12/11/2020, $214.06, 4283354, $213.39, $215, $210.4203
12/10/2020, $215.34, 6556822, $208.36, $216.23, $206.65
12/09/2020, $210.8, 7807532, $217, $218.94, $209.25
12/08/2020, $216.94, 5419592, $216.325, $218.72, $215.57
12/07/2020, $217.93, 5363365, $217.39, $219.32, $216.31
12/04/2020, $217.77, 6214640, $214.88, $218.553, $213.01
12/03/2020, $214.54, 7645193, $213.33, $216.93, $213.11
12/02/2020, $212.56, 7537366, $215.6, $215.75, $210.5
12/01/2020, $216.54, 10146960, $217.15, $220.57, $214.3401
11/30/2020, $214.12, 12976150, $212.51, $215.83, $207.09
11/27/2020, $211.39, 5363151, $213.2, $213.84, $208.62
11/25/2020, $214.46, 13817470, $206.29, $216.07, $206.23
11/24/2020, $206, 14781560, $204, $207.0791, $198.86
11/23/2020, $200.82, 12019990, $194.53, $202.16, $193.92
11/20/2020, $192.67, 11518660, $192.47, $194.73, $190.96
11/19/2020, $190.9, 9391530, $190.82, $192.75, $189.57
11/18/2020, $190.12, 8095357, $192.59, $192.95, $189.54
11/17/2020, $192.3, 6448805, $192.13, $194.63, $190.63
11/16/2020, $191.94, 10127760, $185.19, $192.38, $183.54
11/13/2020, $188.62, 6020699, $191.1069, $191.7299, $186.85
11/12/2020, $189.1, 7103620, $193.95, $194.9, $188.43
11/11/2020, $192.34, 9151685, $187.498, $193.1, $186.4
11/10/2020, $183.36, 13144320, $184.98, $186.71, $178.6
